time,pdr,latency,vehicle_count
100,0.0,20,4
200,9.523809523809524,20,7
300,40.0,20,10
400,60.22727272727273,20,12
500,72.44094488188976,20,15
600,75.0,20,17
700,82.92682926829268,20,20
800,89.50819672131148,20,21
900,97.96437659033079,20,23
1000,106.4516129032258,20,25
1100,115.68265682656826,20,27
1200,124.54268292682926,20,30
1300,127.12765957446808,20,34
1400,132.94392523364488,20,36
1500,147.05882352941177,20,38
1600,162.23214285714283,20,40
1700,177.51813053988718,20,42
1800,202.3454157782516,20,43
1900,217.56668835393623,20,44
2000,226.9898264512268,20,46
2100,239.75188781014026,20,46
2200,246.1191787681522,20,49
2300,252.1455223880597,20,51
2400,260.9953211399405,20,53
2500,264.6871263451574,20,54
2600,269.311377245509,20,54
2700,276.6701280719972,20,54
2800,278.43780767968497,20,54
2900,280.97165991902835,20,56
3000,285.6142398599358,20,53
3100,288.21887213847015,20,50
3200,291.9753086419753,20,47
3300,297.1370143149284,20,46
3400,298.2707509881423,20,45
3500,299.2585505859842,20,42
3600,300.1612531674729,20,38
3700,298.87589928057554,20,34
3800,297.6232394366197,20,31
3900,294.5696501395149,20,27
4000,292.6144756277696,20,26
4100,291.6389351081531,20,22
4200,289.69535882232674,20,20
4300,288.05336567616735,20,18
4400,286.4945978391356,20,15
4500,284.57278481012656,20,14
4600,283.0585001963094,20,11
4700,281.8110850897736,20,9
4800,280.3567965871631,20,8
4900,279.2817146167214,20,6
5000,278.3336540311718,20,6
5100,277.1986970684039,20,5
5200,276.52905198776756,20,4
5300,276.001526135063,20,3
5400,275.44727826417966,20,3
5500,275.05225156754705,20,3
5600,274.7769975327387,20,1
5700,274.5685567987863,20,1
5800,274.41243366186507,20,1
5900,274.25648797120664,20,1
6000,274.0488358886996,20,1
6100,273.94512771996216,20,0
6200,273.94512771996216,20,0
6300,273.94512771996216,20,0
6400,273.94512771996216,20,0
6500,273.94512771996216,20,0
6600,273.94512771996216,20,0
6700,273.94512771996216,20,0
